Experiment: Apr29_NP_tst_expt vial 5, Fri Apr 29 15:50:36 2022
0.0017,54941
0.0067,54939
0.0124,54950
0.018,54946
0.0233,54936
0.0289,54937
0.0346,54947
0.0402,54947
0.0456,54950
2.857,54958
2.8626,54952
2.8679,54959
2.8737,54956
2.879,54955
2.8847,54958
2.8903,54959
2.8957,54954
2.9013,54963
2.9069,54960
2.9126,54958
2.9179,54957
2.9236,54956
2.9293,54961
2.9346,54960
2.9403,54961
2.9459,54958
2.9513,54965
2.9569,54959
2.9625,54960
2.9679,54964
2.9735,54957
2.9792,54964
2.9848,54961
2.9901,54965
2.9958,54964
3.0014,54961
3.0068,54957
3.0125,54951
3.0182,54958
3.0235,54955
3.0292,54960
3.0348,54964
3.0402,54958
3.0458,54954
3.0513,54962
3.057,54959
3.0626,54950
3.0679,54960
3.0736,54960
3.0791,54965
3.0847,54968
3.0904,54963
3.0957,54958
3.1013,54957
3.1069,54959
3.1126,54958
3.1179,54957
3.1235,54955
3.1291,54963
3.1348,54962
3.1404,54957
3.1457,54960
3.1514,54956
3.157,54954
3.1626,54957
3.1679,54953
3.1735,54950
3.1792,54959
3.1848,54956
3.1902,54954
3.1958,54956
3.2014,54956
3.2068,54956
3.2124,54959
3.218,54952
3.2237,54955
3.229,54963
3.2346,54964
3.2403,54960
3.246,54956
3.2513,54956
3.2569,54958
3.2626,54959
3.2679,54956
3.2735,54957
3.2792,54961
3.2848,54956
3.2901,54959
3.2958,54955
3.3014,54958
3.307,54958
3.3124,54954
3.318,54950
3.3236,54948
3.3292,54947
3.3349,54954
3.3402,54952
3.3458,54955
3.3515,54949
3.3571,54953
3.3624,54959
3.3681,54955
3.3737,54958
3.3793,54957
3.3846,54963
3.3903,54959
3.3959,54957
3.4013,54955
3.4069,54958
3.4125,54953
3.4182,54961
3.4235,54956
3.4291,54964
3.4348,54960
3.4404,54957
3.4458,54962
3.4514,54956
3.457,54964
3.4624,54961
3.468,54951
3.4736,54956
3.4792,54958
3.4846,54957
3.4902,54961
3.4958,54960
3.5014,54959
3.5068,54962
3.5124,54955
3.518,54961
3.5237,54962
3.529,54956
3.5346,54964
3.5402,54957
3.5459,54960
3.5515,54957
3.5568,54962
3.5624,54960
3.5681,54964
3.5737,54965
3.579,54967
3.5846,54962
3.5902,54963
3.5959,54965
3.6015,54964
3.6068,54960
3.6125,54958
3.618,54955
3.6237,54962
3.6293,54961
3.6346,54961
3.6403,54964
3.6458,54961
3.6515,54960
3.6571,54966
3.6624,54959
3.668,54953
3.6736,54954
3.6793,54960
3.6846,54956
3.6903,54959
3.6959,54962
3.7012,54954
3.7069,54961
3.7125,54957
3.7181,54955
3.7234,54957
3.7291,54965
3.7347,54964
3.7403,54959
3.746,54961
3.7513,54963
3.7569,54959
3.7625,54968
3.7682,54964
3.7735,54963
3.7791,54965
3.7848,54965
3.7904,54963
3.7957,54963
3.8013,54965
3.807,54958
3.8126,54958
3.8182,54965
3.8235,54961
3.8292,54962
3.8348,54961
3.8404,54959
3.8458,54971
3.8514,54965
3.8571,54959
3.8624,54959
3.868,54959
3.8737,54958
3.879,54961
3.8846,54964
3.8903,54962
3.8959,54952
3.9015,54959
3.9069,54959
3.9125,54959
3.9181,54956
3.9237,54953
3.9291,54956
3.9347,54961
3.9403,54957
3.946,54955
3.9513,54959
3.957,54967
3.9626,54960
3.9679,54968
3.9736,54963
3.9792,54962
3.9848,54961
3.9902,54958
3.9958,54961
4.0014,54962
4.0071,54962
4.0124,54958
4.018,54961
4.0237,54964
4.0293,54964
4.0346,54957
4.0403,54952
4.0459,54960
4.0512,54955
4.0569,54954
4.0625,54958
4.0681,54957
4.0735,54958
4.0791,54964
4.0847,54966
4.0903,54962
4.096,54954
4.1013,54958
4.107,54960
4.1126,54964
4.118,54965
4.1236,54958
4.1292,54963
4.1349,54959
4.1402,54965
4.1458,54967
4.1515,54960
4.1571,54962
4.1625,54960
4.1681,54964
4.1737,54963
4.1791,54962
4.1847,54957
4.1904,54958
4.1957,54964
4.2014,54959
4.207,54957
4.2126,54961
4.218,54967
4.2236,54956
4.2293,54957
4.2346,54966
4.2403,54958
4.2459,54963
4.2515,54965
4.2569,54958
4.2625,54958
4.2679,54962
4.2736,54964
4.2792,54964
4.2848,54962
4.2902,54944
4.2957,54948
4.3014,54970
4.307,54956
4.3127,54963
4.318,54961
4.3236,54959
4.3292,54961
4.3348,54946
4.3402,54904
4.3458,54951
4.3514,54964
4.357,54966
4.3626,54968
4.368,54964
4.3736,54966
4.3792,54961
4.3848,54956
4.3902,54967
4.3958,54961
4.4014,54952
4.407,54960
4.4124,54936
4.418,54961
4.4236,54968
4.4293,54964
4.4346,54957
4.4403,54901
4.4459,54959
4.4515,54955
4.4569,54961
4.4625,54953
4.4681,54950
4.4738,54955
4.4791,54970
4.4847,54956
4.4904,54946
4.4957,54966
4.5014,54920
4.507,54969
4.5126,54960
4.518,54967
4.5236,54951
4.5292,54965
4.5349,54972
4.5402,54962
4.5458,54953
4.5515,54976
4.5568,54970
4.5625,54972
4.5681,54969
4.5737,54960
4.5791,54961
4.5847,54968
4.5903,54966
4.596,54965
4.6013,54964
4.607,54963
4.6126,54970
4.618,54966
4.6236,54964
4.6292,54974
4.6348,54970
4.6402,54953
4.6458,54966
4.6515,54965
4.6571,54971
4.6624,54974
4.6681,54971
4.6737,54972
4.6791,54976
4.6847,54979
4.6904,54967
4.696,54977
4.7013,54971
4.7069,54972
4.7126,54975
4.7182,54978
4.7236,54973
4.7292,54962
4.7349,54977
4.7402,54981
4.7458,54956
4.7515,54973
4.7571,54973
4.7625,54967
4.7681,54969
4.7737,54958
4.7791,54966
4.7847,54961
4.7903,54972
4.7959,54974
4.8013,54969
4.8069,54978
4.8126,54969
4.8182,54960
4.8235,54971
4.8292,54969
4.8348,54974
4.8404,54976
4.8458,54974
4.8514,54978
4.857,54976
4.8624,54976
4.868,54984
4.8737,54976
4.8793,54970
4.8846,54974
4.8903,54976
4.8959,54968
4.9015,54957
4.9069,54968
4.9125,54974
4.9181,54956
4.9238,54971
4.9291,54972
4.9347,54965
4.9404,54961
4.9457,54913
4.9514,54977
4.957,54969
4.9626,54957
4.968,54972
4.9736,54968
4.9792,54977
4.9849,54973
4.9902,54971
4.9959,54938
5.0015,54978
5.0071,54973
5.0125,54969
5.0181,54969
5.0237,54972
5.0291,54965
5.0347,54969
5.0403,54971
5.0459,54967
5.0513,54969
5.0569,54975
5.0626,54968
5.0682,54954
5.0736,54968
5.0792,54971
5.0848,54895
5.0904,54968
5.0958,54963
5.1014,54967
5.107,54965
5.1124,54965
5.118,54972
5.1236,54940
5.1293,54933
5.1346,54970
5.1402,54963
5.1459,54969
5.1515,54973
5.1568,54963
5.1625,54921
5.1681,54960
5.1737,54944
5.1793,54880
5.1847,54961
5.1903,54967
5.1958,54969
5.2014,54976
5.207,54967
5.2126,54970
5.218,54929
5.2236,54972
5.2292,54955
5.2348,54969
5.2402,54917
5.2458,54976
5.2514,54978
5.257,54969
5.2626,54978
5.268,54978
5.2736,54978
5.2792,54884
5.2848,54957
5.2902,54969
5.2958,54976
5.3014,54983
5.307,54976
5.3124,54977
5.318,54976
5.3236,54975
5.3293,54987
5.3348,54981
5.3404,54977
5.3458,54981
5.3514,54982
5.357,54977
5.3624,54982
5.368,54980
5.3736,54979
5.3793,54983
5.3846,54972
5.3902,54974
5.3959,54980
5.4015,54950
5.4071,54977
5.4124,54919
5.418,54975
5.4237,54984
5.4293,54984
5.4346,54984
5.4403,54965
5.4459,54967
5.4515,54978
5.4569,54978
5.4625,54978
5.4681,54974
5.4738,54976
5.4791,54982
5.4847,54973
5.4904,54960
5.4957,54972
5.5013,54973
5.507,54983
5.5126,54945
5.518,54973
5.5236,54972
5.5292,54976
5.5349,54969
5.5402,54973
5.5458,54969
5.5514,54959
5.5571,54971
5.5624,54973
5.568,54967
5.5736,54972
5.5792,54975
5.5849,54972
5.5902,54966
5.5958,54973
5.6014,54972
5.607,54973
5.6124,54960
5.618,54972
5.6236,54971
5.6292,54930
5.6349,54975
5.6402,54975
5.6458,54969
5.6514,54970
5.657,54956
5.6624,54962
5.668,54968
5.6736,54963
5.6792,54961
5.6848,54959
5.6902,54926
5.6958,54965
5.7014,54961
5.707,54970
5.7124,54966
5.718,54899
5.7236,54971
5.7293,54973
5.7346,54971
5.7403,54970
5.7459,54974
5.7515,54971
5.7568,54972
5.7625,54979
5.7681,54981
5.7737,54969
5.7793,54970
5.7847,54978
5.7903,54973
5.796,54969
5.8013,54973
5.8069,54975
5.8126,54974
5.8179,54964
5.8236,54972
5.8292,54973
5.8348,54964
5.8402,54980
5.8459,54944
5.8515,54921
5.8569,54965
5.8625,54915
5.8682,54967
5.8738,54973
5.8791,54970
5.8848,54964
5.8904,54974
5.896,54967
5.9013,54974
5.907,54966
5.9126,54962
5.9182,54968
5.9236,54974
5.9292,54971
5.9348,54968
5.9404,54963
5.9458,54964
5.9514,54973
5.957,54969
5.9624,54968
5.968,54959
5.9736,54967
5.9793,54970
5.9849,54930
5.9902,54965
5.9959,54961
6.0015,54960
6.0068,54970
6.0125,54958
6.0181,54963
6.0237,54954
6.0291,54965
6.0347,54973
6.0404,54959
6.046,54961
6.0513,54965
6.057,54967
6.0626,54958
6.068,54942
6.0736,54967
6.0792,54966
6.0848,54966
6.0902,54961
6.0958,54959
6.1015,54965
6.1071,54968
6.1124,54967
6.1181,54962
6.1237,54948
6.129,54965
6.1347,54960
6.1403,54952
6.1459,54967
6.1513,54902
6.1569,54965
6.1625,54972
6.1681,54970
6.1738,54974
6.1791,54962
6.1848,54972
6.1904,54973
6.1957,54968
6.2014,54963
6.207,54962
6.2126,54958
6.218,54963
6.2236,54970
6.2292,54968
6.2348,54969
6.2402,54967
6.2458,54967
6.2514,54964
6.2571,54948
6.2624,54966
6.268,54967
6.2737,54930
6.2793,54965
6.2847,54962
6.2903,54969
6.2959,54968
6.3015,54940
6.3069,54960
6.3125,54964
6.3181,54967
6.3238,54968
6.3291,54965
6.3347,54965
6.3404,54977
6.3457,54962
6.3514,54966
6.357,54954
6.3626,54938
6.368,54966
6.3736,54972
6.3792,54975
6.3848,54938
6.3902,54956
6.3958,54963
6.4014,54967
6.4071,54970
6.4124,54958
6.4181,54976
6.4237,54956
6.4293,54945
6.4347,54982
6.4403,54977
6.4459,54971
6.4513,54972
6.4569,54968
6.4625,54964
6.4681,54977
6.4738,54979
6.4791,54966
6.4848,54971
6.4904,54972
6.496,54966
6.5014,54967
6.507,54967
6.5126,54975
6.5182,54968
6.5236,54970
6.5292,54966
6.5348,54970
6.5404,54972
6.5458,54968
6.5514,54969
6.557,54971
6.5627,54970
6.568,54965
6.5736,54969
6.5793,54975
6.5849,54973
6.5902,54964
6.5959,54969
6.6015,54976
6.6068,54969
6.6124,54970
6.6181,54975
6.6237,54968
6.6293,54969
6.6347,54957
6.6403,54971
6.6459,54968
6.6515,54969
6.6569,54970
6.6625,54969
