Experiment: Mar_29_Phage_osmo_expt vial 4, Mon Mar 29 18:22:56 2021
0.0053,1614
0.0085,1610
0.0141,1609
0.0197,1614
0.0251,1612
0.0307,1609
0.0363,1612
0.0419,1612
0.0473,1609
0.053,1610
0.0586,1613
0.064,1607
0.0696,1608
0.0752,1615
0.0808,1609
0.0862,1609
0.0918,1614
0.0974,1609
0.103,1607
0.1084,1614
0.114,1612
0.1197,1608
0.1251,1610
0.1308,1614
0.1361,1609
0.1418,1609
0.1474,1615
0.1531,1612
0.1584,1606
0.164,1612
0.1697,1615
0.175,1609
0.1807,1607
0.1863,1614
0.192,1611
0.1973,1607
0.203,1613
0.2086,1614
0.214,1606
0.2196,1608
0.2253,1614
0.2309,1611
0.2362,1610
0.2419,1614
0.2475,1611
0.2529,1607
0.2585,1614
0.2641,1611
0.2695,1608
0.2751,1616
0.2808,1613
0.2864,1608
0.2917,1613
0.2974,1612
0.303,1608
0.3084,1612
0.314,1613
0.3197,1606
0.3253,1609
0.3307,1614
0.3363,1611
0.342,1609
0.3473,1614
0.3529,1611
0.3586,1609
0.3642,1612
0.3696,1611
0.3752,1608
0.3808,1612
0.3862,1613
0.3918,1606
0.3975,1611
0.4031,1616
0.4085,1606
0.4141,1609
0.4197,1615
0.4251,1611
0.4307,1608
0.4364,1614
0.4417,1613
0.4474,1608
0.453,1609
0.4586,1612
0.464,1609
0.4697,1610
0.4753,1615
0.4807,1608
0.4863,1610
0.4919,1615
0.4973,1609
0.5029,1607
0.5086,1613
0.5139,1611
0.5196,1608
0.5252,1612
0.5307,1613
0.5363,1609
0.5419,1611
0.5476,1614
0.5529,1608
0.5586,1608
0.5642,1614
0.5696,1609
0.5752,1608
0.5808,1611
0.5865,1610
0.5918,1608
0.5975,1608
0.6028,1615
0.6085,1609
0.6141,1608
0.6197,1614
0.6251,1610
0.6308,1608
0.6364,1613
0.6418,1614
0.6474,1606
0.653,1610
0.6586,1615
0.664,1609
0.6696,1611
0.6753,1615
0.6809,1612
0.6863,1607
0.6919,1613
0.6975,1613
0.7029,1608
0.7085,1610
0.7142,1615
0.7198,1610
0.7252,1608
0.7308,1613
0.7364,1612
0.7418,1607
0.7473,1610
0.7529,1616
0.7586,1609
0.7642,1608
0.7696,1615
0.7751,1612
0.7807,1607
0.7864,1612
0.792,1613
0.7974,1606
0.8029,1612
0.8085,1615
0.8142,1608
0.8195,1610
0.8252,1615
0.8307,1607
0.8363,1610
0.842,1616
0.8473,1611
0.853,1606
0.8585,1614
0.8642,1613
0.8695,1609
0.8752,1608
0.8808,1615
0.8863,1608
0.892,1609
0.8973,1613
0.903,1611
0.9086,1609
0.9141,1613
0.9198,1613
0.9251,1607
0.9308,1609
0.9364,1614
0.9418,1609
0.9474,1610
0.9531,1615
0.9585,1610
0.9641,1608
0.9697,1613
0.9754,1613
0.9807,1606
0.9863,1609
0.992,1619
0.9973,1609
1.003,1608
1.0086,1615
1.014,1610
1.0196,1607
1.0253,1613
1.0306,1613
1.0363,1607
1.0419,1613
1.0475,1612
1.0529,1609
1.0586,1614
1.0642,1612
1.0695,1608
1.0752,1612
1.0808,1612
1.0862,1607
1.0918,1612
1.0975,1613
1.1031,1607
1.1085,1613
1.1141,1613
1.1197,1608
1.1251,1610
1.1307,1614
1.1363,1607
1.142,1608
1.1474,1614
1.153,1610
1.1586,1608
1.164,1613
1.1696,1611
1.1753,1609
1.1809,1614
1.1863,1610
1.1919,1607
1.1975,1612
1.2029,1611
1.2085,1608
1.2141,1615
1.2198,1611
1.2251,1607
1.2308,1613
1.2364,1614
1.2418,1609
1.2474,1609
1.253,1614
1.2584,1608
1.264,1609
1.2697,1612
1.2753,1608
1.2807,1609
1.2863,1614
1.2919,1609
1.2973,1608
1.3029,1613
1.3086,1612
1.3142,1608
1.3196,1612
1.3252,1615
1.3308,1607
1.3362,1609
1.3418,1614
1.3475,1610
1.3531,1607
1.3585,1613
1.3641,1612
1.3697,1610
1.3751,1614
1.3807,1613
1.3864,1609
1.392,1612
1.3974,1611
1.403,1610
1.4086,1615
1.4143,1609
1.4196,1609
1.4253,1613
1.4306,1610
1.4363,1607
1.4419,1613
1.4476,1609
1.4529,1609
1.4586,1613
1.4643,1612
1.4696,1607
1.4752,1613
1.4809,1613
1.4862,1607
1.4919,1610
1.4975,1612
1.5029,1609
1.5085,1609
1.5141,1613
1.5198,1608
1.5251,1608
1.5308,1614
1.5364,1610
1.542,1606
1.5474,1610
1.553,1613
1.5586,1608
1.564,1612
1.5697,1614
1.5753,1606
1.5807,1610
1.5863,1615
1.5919,1610
1.5976,1608
1.603,1613
1.6086,1613
1.614,1608
1.6196,1613
1.6253,1612
1.6309,1608
1.6363,1613
1.6419,1612
1.6475,1611
1.6529,1614
1.6585,1610
1.6642,1608
1.6698,1613
1.6752,1612
1.6808,1608
1.6864,1612
1.6918,1614
1.6974,1606
1.7031,1611
1.7084,1614
1.7141,1608
1.7197,1610
1.7253,1613
