Experiment: April_28_Phage_Osmo_expt vial 11, Wed Apr 28 17:10:55 2021
0.0025,1625
0.0079,1621
0.0135,1624
0.0192,1627
0.0245,1622
0.0301,1622
0.0358,1628
0.0411,1624
0.0468,1618
0.0524,1621
0.0578,1625
0.0634,1624
0.069,1621
0.0747,1625
0.08,1624
0.0857,1621
0.0913,1624
0.0967,1625
0.1023,1622
0.1079,1623
0.1136,1626
0.119,1622
0.1246,1623
0.1302,1625
0.1356,1622
0.1413,1623
0.1469,1625
0.1522,1622
0.1579,1623
0.1635,1625
0.1689,1621
0.1746,1623
0.1802,1626
0.1858,1622
0.1912,1625
0.1968,1625
0.2024,1622
0.2079,1623
0.2135,1625
0.2189,1621
0.2246,1624
0.2302,1624
0.2356,1623
0.2412,1622
0.2469,1625
0.2525,1619
0.2578,1624
0.2635,1627
0.2691,1623
0.2745,1621
0.2801,1625
0.2857,1625
0.2911,1620
0.2968,1625
0.3024,1626
0.3081,1625
0.3134,1626
0.3191,1623
0.3247,1623
0.3301,1625
0.3357,1622
0.3414,1622
0.3467,1626
0.3524,1623
0.358,1623
0.3634,1628
0.369,1622
0.3747,1625
0.3801,1627
0.3858,1622
0.3914,1628
0.3968,1625
0.4024,1623
0.4078,1625
0.4134,1625
0.4191,1622
0.4247,1627
0.4301,1623
0.4357,1623
0.4413,1627
0.4467,1623
0.4524,1624
0.458,1627
0.4634,1623
0.469,1623
0.4747,1627
0.4801,1624
0.4857,1622
0.4913,1627
0.497,1627
0.5023,1621
0.508,1625
0.5133,1627
0.519,1620
0.5246,1622
0.5303,1625
0.5356,1624
0.5413,1621
0.5469,1623
0.5523,1628
0.5579,1622
0.5635,1628
0.5692,1622
0.5746,1623
0.5802,1627
0.5856,1623
0.5912,1624
0.5969,1627
0.6025,1623
0.6081,1623
0.6135,1628
0.6191,1622
0.6245,1623
0.6302,1627
0.6358,1624
0.6412,1624
0.6469,1625
0.6525,1622
0.6579,1626
0.6635,1625
0.6692,1623
0.6746,1624
0.6802,1624
0.6859,1621
0.6912,1626
0.6969,1625
0.7023,1622
0.708,1626
0.7134,1625
0.7191,1621
0.7247,1627
0.7301,1626
0.7357,1622
0.7414,1626
0.7467,1624
0.7524,1621
0.758,1626
0.7636,1627
0.769,1620
0.7746,1624
0.7802,1626
0.7856,1622
0.7913,1620
0.797,1627
0.8023,1626
0.808,1620
0.8136,1626
0.819,1624
0.8246,1619
0.8302,1625
0.8356,1627
0.8412,1620
0.8469,1623
0.8525,1629
0.8581,1623
0.8635,1622
0.8691,1628
0.8747,1627
0.8801,1620
0.8857,1623
0.8914,1627
0.8967,1625
0.9023,1620
0.908,1627
0.9136,1626
0.919,1621
0.9246,1623
0.9303,1628
0.9356,1621
0.9413,1623
0.9469,1627
0.9523,1623
0.9579,1622
0.9636,1627
0.969,1622
0.9747,1622
0.9801,1628
0.9857,1623
