Experiment: April_28_Phage_Osmo_expt vial 6, Wed Apr 28 17:10:55 2021
0.0025,28313
0.0079,28316
0.0135,28315
0.0192,28319
0.0245,28310
0.0301,28313
0.0358,28311
0.0411,28306
0.0468,28312
0.0524,28322
0.0578,28328
0.0634,28327
0.069,28337
0.0747,28334
0.08,28335
0.0857,28323
0.0913,28328
0.0967,28329
0.1023,28324
0.1079,28325
0.1136,28330
0.119,28334
0.1246,28327
0.1302,28323
0.1356,28320
0.1413,28333
0.1469,28326
0.1522,28333
0.1579,28327
0.1635,28322
0.1689,28334
0.1746,28331
0.1802,28328
0.1858,28323
0.1912,28331
0.1968,28340
0.2024,28319
0.2079,28322
0.2135,28327
0.2189,28342
0.2246,28339
0.2302,28340
0.2356,28328
0.2412,28331
0.2469,28335
0.2525,28337
0.2578,28340
0.2635,28330
0.2691,28354
0.2745,28336
0.2801,28331
0.2857,28322
0.2911,28347
0.2968,28336
0.3024,28340
0.3081,28344
0.3134,28337
0.3191,28339
0.3247,28343
0.3301,28333
0.3357,28327
0.3414,28313
0.3467,28329
0.3524,28328
0.358,28321
0.3634,28318
0.369,28325
0.3747,28321
0.3801,28335
0.3858,28328
0.3914,28331
0.3968,28332
0.4024,28331
0.4078,28330
0.4134,28334
0.4191,28334
0.4247,28334
0.4301,28324
0.4357,28323
0.4413,28322
0.4467,28313
0.4524,28321
0.458,28321
0.4634,28318
0.469,28322
0.4747,28320
0.4801,28317
0.4857,28320
0.4913,28320
0.497,28323
0.5023,28319
0.508,28328
0.5133,28333
0.519,28335
0.5246,28345
0.5303,28329
0.5356,28341
0.5413,28354
0.5469,28349
0.5523,28356
0.5579,28347
0.5635,28361
0.5692,28361
0.5746,28348
0.5802,28349
0.5856,28347
0.5912,28348
0.5969,28342
0.6025,28331
0.6081,28332
0.6135,28323
0.6191,28332
0.6245,28334
0.6302,28336
0.6358,28336
0.6412,28330
0.6469,28322
0.6525,28336
0.6579,28333
0.6635,28328
0.6692,28326
0.6746,28314
0.6802,28326
0.6859,28327
0.6912,28333
0.6969,28337
0.7023,28337
0.708,28324
0.7134,28335
0.7191,28328
0.7247,28320
0.7301,28315
0.7357,28316
0.7414,28322
0.7467,28319
0.7524,28329
0.758,28329
0.7636,28329
0.769,28332
0.7746,28320
0.7802,28323
0.7856,28316
0.7913,28316
0.797,28321
0.8023,28321
0.808,28320
0.8136,28327
0.819,28316
